moneyness,T,sigma,price,vega,delta,gamma,recovered_iv,price_finite,price_nonneg,iv_ill_posed,iv_roundtrip_ok,all_pass
0.8,0.019178082191780823,0.01,154.83853414141845,0.0,0.9997507160079259,0.0,0.2,True,True,True,True,True
0.8,0.019178082191780823,0.05,154.83853414141845,6.654529352720254e-226,0.9997507160079259,1.1629376845247373e-228,0.2,True,True,True,True,True
0.8,0.019178082191780823,0.2,154.83853414141845,2.564885663908566e-13,0.9997507160079255,1.120590967803457e-16,0.2,True,True,True,True,True
0.8,0.019178082191780823,1.0,156.9761540628856,10.317438270155364,0.9537673006870673,0.0009015316588254735,0.9999999995938967,True,True,False,True,True
0.8,0.019178082191780823,3.0,207.64799462444472,32.296129292481275,0.7720677682718473,0.0009406722305902446,2.999999999796949,True,True,False,True,True
0.8,0.0821917808219178,0.01,155.95454058341238,0.0,0.9989320774848635,0.0,0.13421980607740247,True,True,True,True,True
0.8,0.0821917808219178,0.05,155.95454058341238,1.0678305624592977e-52,0.9989320774848635,4.354298829986477e-56,0.13421980607740247,True,True,True,True,True
0.8,0.0821917808219178,0.2,155.9549121961087,0.03386765521605247,0.9988956098424456,3.452558314635797e-06,0.2,True,True,False,True,True
0.8,0.0821917808219178,1.0,180.09035605379557,57.226144110199826,0.8231572787152791,0.001166756885894894,0.9999999998849292,True,True,False,True,True
0.8,0.0821917808219178,3.0,316.2526789547072,69.43943656777033,0.7548944013640357,0.0004719226502027369,3.0000000000879816,True,True,False,True,True
0.8,1.0,0.01,171.71382549805764,1.171476925511994e-139,0.9870841350202876,1.9631252881229461e-143,0.04248669231092617,True,True,True,True,True
0.8,1.0,0.05,171.71382652612294,0.0005932764295225165,0.9870839903941645,1.9883890775465703e-08,0.050002612495064706,True,True,False,True,True
0.8,1.0,0.2,178.12569524402466,118.08218262662851,0.9037204219747837,0.000989392593839498,0.2,True,True,False,True,True
0.8,1.0,1.0,352.6256107859002,228.73397025497636,0.7649098292303794,0.0003833054083110137,1.0,True,True,False,True,True
0.8,1.0,3.0,673.0455481409065,86.61665982242222,0.9313358623557877,4.838318523881699e-05,2.9999999999998073,True,True,False,True,True
0.8,5.0,0.01,230.39860680822392,9.393895377531816e-62,0.9370674633774034,3.1484006501543585e-66,0.02831460616106089,True,True,True,True,True
0.8,5.0,0.05,230.40381281269742,1.499761299639249,0.9368350137468554,1.0053016903199093e-05,0.050000002769679766,True,True,False,True,True
0.8,5.0,0.2,259.00440720417686,360.2615322388424,0.8058827076745491,0.0006037152835655664,0.2,True,True,False,True,True
0.8,5.0,1.0,567.6491562452672,281.22295821479764,0.8446418449356465,9.425297056208378e-05,0.9999999999956448,True,True,False,True,True
0.8,5.0,3.0,723.4000250130964,1.919753128045834,0.9367644464581819,2.1447091448103924e-07,2.999999999999985,True,True,False,True,True
1.0,0.0027397260273972603,0.01,0.19741256519370154,15.904863731376896,0.5665927380539134,0.9728303155670619,0.010000000000003034,True,True,False,True,True
1.0,0.0027397260273972603,0.05,0.8407891359918267,16.120478769151973,0.5138651536595131,0.19720370715466154,0.05000000000239317,True,True,False,True,True
1.0,0.0027397260273972603,0.2,3.2598663333189393,16.128753679042905,0.505411045421703,0.04932623377442913,0.2,True,True,False,True,True
1.0,0.0027397260273972603,1.0,16.161581686450063,16.123994763953753,0.5110893686417831,0.009862335936568784,0.999999999997829,True,True,False,True,True
1.0,0.0027397260273972603,3.0,48.37281980171821,16.07989994444444,0.5314933556091936,0.0032784550272254858,2.9999999999999987,True,True,False,True,True
1.0,0.019178082191780823,0.01,0.7046612711213811,38.66515205434673,0.6712550371049579,0.33785381368479417,0.010000000000003626,True,True,False,True,True
